Date : 2026-03-12 00:45:41
Directory : /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt
Total : 220 files,  35297 codes, 676 comments, 3065 blanks, all 39038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/home_components/FeatureStorySection.vue                                                                                                     | Vue                |         72 |          0 |          6 |         78 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/home_components/Features.vue                                                                                                                | Vue                |         55 |          0 |          5 |         60 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/home_components/HomeFooter.vue                                                                                                              | Vue                |         56 |          0 |          7 |         63 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/home_components/NavBar.vue                                                                                                                  | Vue                |         65 |          0 |         11 |         76 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/home_components/ScrollReveal.vue                                                                                                            | Vue                |         89 |          0 |         13 |        102 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/home_components/TitleSection.vue                                                                                                            | Vue                |         24 |          0 |          7 |         31 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/home_components/Trusted_By.vue                                                                                                              | Vue                |         78 |          5 |         21 |        104 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/kitchenDisplay_components/Completed_Orders/Complete_Order_Popup.vue                                                                         | Vue                |        109 |          4 |         53 |        166 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/kitchenDisplay_components/Completed_Orders/Completed_Order_Item.vue                                                                         | Vue                |         57 |          6 |         60 |        123 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/kitchenDisplay_components/Loading_Order_Item.vue                                                                                            | Vue                |         32 |          7 |         10 |         49 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/kitchenDisplay_components/Order_Item.vue                                                                                                    | Vue                |         55 |          6 |         50 |        111 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/manage_table_components/Add_Table_Modal_Component.vue                                                                                       | Vue                |         70 |          0 |         46 |        116 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/manage_table_components/Edit_Table_Modal_Component.vue                                                                                      | Vue                |         70 |          0 |         32 |        102 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/manage_table_components/Table_Loading_Skeleton.vue                                                                                          | Vue                |         28 |          0 |          2 |         30 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/manage_table_components/Table_QR_Code.vue                                                                                                   | Vue                |         37 |          0 |         13 |         50 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/menu_components/AddMenuItemModal.vue                                                                                                        | Vue                |        165 |          0 |         24 |        189 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/menu_components/DeleteMenuItemConfirmModal.vue                                                                                              | Vue                |         49 |          0 |          6 |         55 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/menu_components/EditMenuItemModal.vue                                                                                                       | Vue                |        203 |          0 |         32 |        235 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/menu_components/MenuItemCard.vue                                                                                                            | Vue                |         75 |          0 |         23 |         98 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/order_dashboard_components/Loading_order.vue                                                                                                | Vue                |         41 |          0 |         10 |         51 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/order_dashboard_components/Order_DetailsCard.vue                                                                                            | Vue                |         82 |          0 |         23 |        105 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/pos_components/Table_Card.vue                                                                                                               | Vue                |         27 |          0 |         11 |         38 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/qr_order_components/Cart_Item.vue                                                                                                           | Vue                |         55 |          2 |         10 |         67 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/qr_order_components/Menu_Item.vue                                                                                                           | Vue                |         49 |         17 |         31 |         97 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/addShift.vue                                                                                                              | Vue                |        139 |          6 |         82 |        227 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/draft_shift.vue                                                                                                           | Vue                |         61 |          0 |         19 |         80 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/editShift.vue                                                                                                             | Vue                |        124 |          6 |         71 |        201 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/edit_draft_shift.vue                                                                                                      | Vue                |         79 |          0 |         18 |         97 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/roster_ai_sidebar_modal.vue                                                                                               | Vue                |        108 |         22 |         24 |        154 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/roster_calendar.vue                                                                                                       | Vue                |        175 |         29 |         79 |        283 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/shift_loading.vue                                                                                                         | Vue                |         43 |         18 |         31 |         92 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/staff_shift.vue                                                                                                           | Vue                |         45 |          0 |         33 |         78 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/roster_components/staffs.vue                                                                                                                | Vue                |         32 |          0 |         28 |         60 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Add_Staff_Modal.vue                                                                                                        | Vue                |        225 |         10 |         77 |        312 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Edit_Staff_Modal.vue                                                                                                       | Vue                |        233 |         11 |         56 |        300 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Staff_Card.vue                                                                                                             | Vue                |        117 |         11 |         18 |        146 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Staff_Card_Loading.vue                                                                                                     | Vue                |         55 |          5 |          5 |         65 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/staff_components/Staff_Delete.vue                                                                                                           | Vue                |         81 |          0 |          6 |         87 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/AddStockDialog.vue                                                                                                         | Vue                |        144 |          0 |         19 |        163 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/DeleteStockDialog.vue                                                                                                      | Vue                |         57 |          0 |          9 |         66 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/RestockDialog.vue                                                                                                          | Vue                |        104 |          0 |         14 |        118 |
