"filename", "language", "TypeScript", "Vue", "XML", "PostCSS", "JSON", "JSON with Comments", "YAML", "Prisma", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockStatsCardSkeleton.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/ui/About_Section_Accordion.vue", "Vue", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 53
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/ui/AddShift_Popover.vue", "Vue", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/ui/BackgroundGrid.vue", "Vue", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/ui/DummyStatsCard.vue", "Vue", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/vapi/vapi_call_button.vue", "Vue", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 128
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useAddLeaveRequestModal.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useAddShiftModal.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 34
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useAiRosterModal.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 99
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useCompleted_Order_Modal.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useDraftShift.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 87
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useEditShift.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
